,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,toCurrency,lastDividendDate,impliedSharesOutstanding
39,92330,Technology,,"Devoteam SA provides technology and management consulting and cloud solutions in Europe, the Middle East, and internationally. It offers transformation management, agile IT, cyber security, digital workplace, data as a service, business process excellence, and customer experience services. The company was founded in 1995 and is headquartered in Levallois-Perret, France.",Levallois-perret,33 1 41 49 48 48,,France,[],http://www.devoteam.com,1.0,"73, rue Anatole France",Information Technology Services,106.0,107.0,99.80625,0.009433962,0.0,,107.0,,691.0,,106.0,103.64167,1.0,107.0,691.0,,,,,1593561600.0,1.04042,,,105.4,2.0,EUR,21.370968,442.0,,,,868540672.0,,,1501.0,1.142259,105.4,0.0,,0.0,442.0,108.0,28.882833,,,63.1,0.0,False,,0.0,107.0,PAR,DEVOTEAM,Devoteam SA,Europe/Paris,CEST,False,7200000,,EQUITY,DVT.PA,,,finmb_8180602,,fr_market,,1.061,,0.0537,8.71,0.6692914,,3.67,,8193780.0,,,26.128,,,,1609372800.0,0.16330999,40829000.0,4.96,1.0,0.48360574,4.0569506,0.80136,1672444800.0,1609372800.0,,,1749473.0,806522944.0,,,,,,0.021,,,,,,,,106.0,https://logo.clearbit.com/devoteam.com,,,,1593561600.0,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,92245,Financial Services,10000.0,"Edenred SA provides transactional solutions for companies, employees, and merchants worldwide. It offers employee benefit solutions, including Ticket Restaurant, Ticket AlimentaciÃ³n, Ticket Plus, Nutrisavings, etc.; and fleet and mobility solutions, such as Ticket Log, Ticket Car, UTA, Ticket Empresarial, etc. The company also provides complementary solutions comprising corporate payment solutions that enhance the management of inter-company cash flows made through checks or transfers; PrePay solutions; incentives and rewards programs, including Ticket Compliments and Ticket KadÃ©os; and public social programs. Its solutions are used in various areas, such as meals, food, fuel, business travel, childcare, shopping, transportation, healthcare, training, and human services, as well as purchases of environmentally-friendly products. The company was founded in 1954 and is headquartered in Malakoff, France.",Malakoff,33 1 74 31 75 00,,France,[],http://www.edenred.com,1.0,Immeuble Columbus,Credit Services,45.12,45.29,45.124374,0.01662234,0.72160006,,45.65,,407275.0,,45.12,45.756943,0.75,45.29,407275.0,,,,0.75,1620950400.0,0.833887,,,45.05,2.0,EUR,46.69072,333322.0,,,,11157419008.0,,,383680.0,7.840772,45.05,0.0,,0.0,333322.0,49.07,,,1.91,31.05,0.0,False,0.0166,0.0,45.65,PAR,EDENRED,Edenred SA,Europe/Paris,CEST,False,7200000,,EQUITY,EDEN.PA,,,finmb_20424975,,fr_market,,8.767,,0.16725,24.705,0.11827159,,,,246355008.0,,,-5.002,,,,1609372800.0,0.69565004,238000000.0,0.97,0.7,0.48360574,,0.0044,1672444800.0,1609372800.0,,,232397924.0,12476060672.0,,1400544000.0,2:1,,,-0.169,,,,,,,,45.29,https://logo.clearbit.com/edenred.com,178-180 Boulevard Gabriel PÃ©ri Cedex,,,1589328000.0,
42,92032,Consumer Cyclical,51943.0,"Elior Group SA provides contract catering and support services in France, the United States, the United Kingdom, Spain, Italy, India, and internationally. It offers contract catering services to business and industry, education, and health and welfare sectors under the Elior brand. The company also offers a range of value-added services under the Elior Services brand, such as cleaning and hygiene services for hotels, industrial sites, shops and retail outlets, and food industry; biological cleaning and hospitality services in the healthcare sector; and facility management and support services, including reception, internal mail handling, minor repairs and maintenance, gardening, etc. for corporate clients. As of January 12, 2021, it operated approximately 23,500 restaurants and points of sale. The company was founded in 1991 and is headquartered in Paris, France.",Paris,33 1 71 06 70 00,,France,[],http://www.eliorgroup.com,1.0,"Tour ÃgÃ©e - 11, allÃ©e de lâArche",Restaurants,6.8,6.835,5.3805623,0.042647056,,,6.97,,595410.0,,6.8,6.8247223,0.29,6.835,595410.0,,,,,1586217600.0,1.970099,,,6.63,2.0,EUR,,542735.0,,,,1140207744.0,,,871406.0,0.28742316,6.63,0.0,,0.0,542735.0,7.88,6.819587,,3.13,3.062,0.0,False,0.0432,0.0,6.97,PAR,ELIOR GROUP,Elior Group SA,Europe/Paris,CEST,False,7200000,,EQUITY,ELIOR.PA,,,finmb_127772,,fr_market,,0.538,,-0.121750005,-50.832,-0.00075531006,,0.97,,172367008.0,,,6.589,,,,1601424000.0,0.4673,-446000000.0,-2.783,0.29,0.48360574,1.003946,0.27813,1664496000.0,1601424000.0,,,96122588.0,2134926336.0,,,,,,,,,,,,,,6.615,https://logo.clearbit.com/eliorgroup.com,Cedex,,,1586217600.0,
43,00061,Communication Services,5171.0,"Elisa Oyj provides data communications and digital services. It operates in two segments, Consumer Customers and Corporate Customers segments. The company offers telecommunications and communications services, such as fixed and mobile subscription, digital, cable-tv subscription, entertainment, and e-reading services, as well as video conferencing services. It also provides industrial IoT solutions for manufacturers, remote patient monitoring and healthcare solutions, and B2B customer support services; and online services. The company serves approximately 2.8 million consumers, companies, and public administration organizations in Finland, rest of Europe, and internationally. Elisa Oyj was founded in 1882 and is headquartered in Helsinki, Finland.",Helsinki,358 102 6000,,Finland,[],http://www.elisa.com,1.0,Ratavartijankatu 5,Telecom Services,49.59,49.7,47.67868,0.039322443,0.90239996,,49.95,,494313.0,,49.59,50.864723,1.95,49.7,494313.0,,,,1.95,1617926400.0,0.002214,,,49.32,2.0,EUR,24.099562,469331.0,,,,7909590016.0,,,408654.0,4.1748075,49.32,49.49,,0.0,469331.0,57.38,24.567165,,4.13,41.6,49.47,False,0.0395,0.0,49.95,HEL,Elisa Corporation,Elisa Oyj,Europe/Helsinki,EEST,False,10800000,,EQUITY,ELISA.HE,,,finmb_1353107,,fi_market,,4.81,,0.17312,13.737,-0.08010435,,2.01,,160178000.0,,,7.388,,,,1609372800.0,0.33236998,328000000.0,2.049,1.95,0.48360574,6.6838117,0.11683,1672444800.0,1609372800.0,,,106389500.0,9113094144.0,,,,,,0.042,,,,,,,,49.38,https://logo.clearbit.com/elisa.com,,358 102 6060,,1617926400.0,
44,75008,Industrials,129000.0,"Bouygues SA, together with its subsidiaries, operates in the construction, telecom, and media sectors in France and internationally. The company designs, builds, renovates, operates, and deconstructs building, infrastructure, and industrial projects; develops urban planning, residential, and commercial projects; constructs and maintains roads and motorways, airport runways, ports, industrial logistics and commercial hubs, urban roads and amenities, external works, reserved-lane public transport facilities, leisure facilities, and environmental amenities, as well as undertakes civil engineering activities; produces and recycles construction materials; and distributes bitumen. It also engages in the construction, renewal, and maintenance of rail networks; fitting of road safety and signaling equipment; and laying and maintenance of pipes and pipelines. In addition, the company produces TF1, TMC, TFX, TF1, and LCI complementary TV channels; operates TV Breizh, Histoire, UshuaÃ¯a, and Serieclub channels; produces, broadcasts, and distributes content; produces cinemas; operates la seine musicale entertainment and concert venue; and licenses, publishes, and boards games, as well as musical and events. Further, it offers telecom services; mobile and fixed Internet services; and Bbox Miami, an Android box for TV. Bouygues SA was founded in 1952 and is based in Paris, France.",Paris,33 1 44 20 10 79,,France,[],http://www.bouygues.com,1.0,32 Avenue Hoche,Engineering & Construction,34.5,34.56,33.088123,0.049275365,0.929,,34.81,,829339.0,,34.5,34.33472,1.7,34.56,829339.0,,,,1.7,1620086400.0,1.093023,,,34.51,2.0,EUR,18.896175,557717.0,,,,13165125632.0,,,925317.0,0.37874356,34.51,0.0,,0.0,557717.0,36.05,11.802048,,,23.91,0.0,False,0.049200002,0.0,34.81,PAR,BOUYGUES,Bouygues SA,Europe/Paris,CEST,False,7200000,,EQUITY,EN.PA,,,finmb_953488,,fr_market,,0.528,,0.02002,6.076,0.14276278,,2.93,,380715008.0,,,27.156,,,,1609372800.0,0.26519,696000000.0,1.83,1.7,0.48360574,1.2733835,0.41114,1672444800.0,1609372800.0,,,226978557.0,18338674688.0,,962582400.0,10:1,,,0.229,,,,,,,,34.58,https://logo.clearbit.com/bouygues.com,,,,1599609600.0,
45,80333,Industrials,197000.0,"Siemens Aktiengesellschaft, a technology company, focuses in the areas of automation and digitalization in Europe, Commonwealth of Independent States, Africa, the Middle East, the Americas, Asia, and Australia. Its Digital Industries segment offers automation systems and software for factories, numerical control systems, motors, drives and inverters, and integrated automation systems for machine tools and production machines; process control systems, machine-to-machine communication products, sensors and radio frequency identification systems; production and product lifecycle management software; mechatronic systems simulation and testing software; and cloud-based industrial Internet of Things operating system. The company's Smart Infrastructure segment supplies and connects energy systems and building technologies to enhance efficiency and sustainability; and supports customers to address technology shifts. Its Mobility segment provides passenger and freight transportation, such as rail vehicles, rail automation and electrification systems, road traffic technology, digital solutions, and related services; and mobility system services. The company's Siemens Healthineers segment offers medical technology and software solutions; and clinical consulting and training services. Its Siemens Financial Services segment provides leasing solutions and equipment; and debt and equity investment products. The company was founded in 1847 and is headquartered in Munich, Germany.",Munich,49 89 636 00,,Germany,[],http://www.siemens.com,1.0,Werner-von-Siemens-Strasse 1,Specialty Industrial Machinery,140.44,140.0,121.2972,0.024921674,0.7544,,140.46,,1360392.0,,140.44,135.496,3.5,140.0,1360392.0,,,,3.5,1612396800.0,1.115725,,,139.46,2.0,EUR,26.420774,1385885.0,,,,112223117312.0,,,1732667.0,1.9505191,139.46,140.42,,100000.0,1385885.0,142.46,,,3.45,76.78,140.38,False,0.0249,44200.0,140.46,GER,SIEMENS AG  NA O.N.,Siemens Aktiengesellschaft,Europe/Berlin,CEST,False,7200000,,EQUITY,SIE.DE,,,finmb_394038,,de_market,,2.523,,0.07519,19.228,0.7265798,,,,799310016.0,,,46.321,,,,1601424000.0,0.31870002,4294000128.0,5.314,3.9,0.48360574,3.0310225,0.06,1664496000.0,1609372800.0,,,800037967.0,145153556480.0,,,,,,0.274,,,,,,,,140.4,https://logo.clearbit.com/siemens.com,,49 69 6682 6664,,1580947200.0,
46,92000,Consumer Cyclical,113931.0,"Faurecia S.E., together with its subsidiaries, manufactures and sells automotive equipment in France, Germany, other European countries, North America, South America, Asia, and internationally. It operates through Seating, Interiors, Clean Mobility, and Clarion Electronics segments. The Seating segment designs and manufactures vehicle seats, seating frames, covers and foams, and seat structure systems. The Interior segment designs and manufactures instrument panels, cockpits, door panels and modules, and acoustic systems, as well as center consoles, and smart surfaces. The Clean Mobility segment designs and manufactures exhaust systems for passenger and commercial vehicles, and high horsepower markets, as well as offers technologies for battery electric and fuel cell electric vehicles. The Clarion Electronics segment offers various solutions in the field of electronics, software, computer vision, artificial intelligence, and advanced driving assistance system. The company was incorporated in 1929 and is headquartered in Nanterre, France.",Nanterre,33 1 72 36 70 00,,France,[],http://www.faurecia.com,1.0,"23-27, avenue des Champs Pierreux",Auto Parts,48.23,48.17,41.412083,0.020733982,0.0,,48.18,,950697.0,,48.23,45.900276,1.0,48.17,950697.0,,,,,1559260800.0,2.124584,,,46.37,2.0,EUR,,831600.0,,,,6299375104.0,,,711918.0,0.42987996,46.37,0.0,,0.0,831600.0,50.76,8.237168,,,27.87,0.0,False,,0.0,48.18,PAR,FAURECIA,Faurecia S.E.,Europe/Paris,CEST,False,7200000,,EQUITY,EO.PA,,,finmb_423663,,fr_market,,0.673,,-0.02585,11.273,0.50859,,5.65,,135354000.0,,,24.689,,,,1609372800.0,0.30587,-378800000.0,-2.754,1.25,0.48360574,1.8850502,0.067940004,1672444800.0,1609372800.0,,,128159288.0,9863050240.0,,,,,,-0.78,,,,,,,,46.54,https://logo.clearbit.com/faurecia.com,,33 1 72 36 70 07,,1559260800.0,
47,164 83,Technology,100824.0,"Telefonaktiebolaget LM Ericsson (publ), together with its subsidiaries, provides communication infrastructure, services, and software solutions to the telecom and other sectors. It operates through four segments: Networks, Digital Services, Managed Services, and Emerging Business and Other. The Networks segment offers hardware, software, and related services for radio access and transport, as well as related services, such as design, tuning, network rollout, and customer support. The Digital Services segment provides products and services for operators in the areas of business support systems, operations support systems, cloud core, cloud communication, and cloud infrastructure, as well as consulting, learning, and testing services. The Managed Services segment offers networks and IT managed, network design and optimization, and application development and maintenance services to operators. The Emerging Business and Other segment consists of emerging businesses, including Internet of Things; iconectiv; Cradlepoint that provides wireless edge WAN 4G and 5G enterprise solutions; Red Bee Media, MediaKind, and other new businesses. It operates in North America, Europe and Latin America, the Middle East and Africa, South East Asia, Oceania, India, North East Asia, and internationally. Telefonaktiebolaget LM Ericsson (publ) was founded in 1876 and is headquartered in Stockholm, Sweden.",Stockholm,46 1 07 19 00 00,,Sweden,[],http://www.ericsson.com,1.0,Torshamnsgatan 21,Communication Equipment,119.5,119.82,104.31299,0.016736401,0.2852,,120.0,,5960049.0,,119.5,111.916664,2.0,119.82,5960049.0,,,,2.0,1632960000.0,0.119047,,,118.86,2.0,SEK,22.787071,4337239.0,,,,400086695936.0,,,8481047.0,1.7216175,118.86,119.76,,0.0,4337239.0,120.64,32.04813,,2.33,78.74,119.68,False,0.0167,0.0,120.0,STO,"Ericsson, Telefonab. L M ser. B",Telefonaktiebolaget LM Ericsson (publ),Europe/Stockholm,CEST,False,7200000,,EQUITY,ERIC-B.ST,,,finmb_269706,,se_market,,1.663,,0.075229995,11.205,0.49825,,3.74,,3072399872.0,,,26.043,,,,1609372800.0,0.59970003,17482999808.0,5.26,1.0,0.48360574,4.6023884,0.0017,1672444800.0,1609372800.0,,,3069680206.0,386538012672.0,,1212364800.0,1:5,,,0.698,,,,,,,,119.86,https://logo.clearbit.com/ericsson.com,Kista,,,1617148800.0,3334149888.0
48,75015,Technology,1014.0,"Eutelsat Communications S.A. provides satellite related services. It offers video services, such as broadcast DTH, distribution, and HD and ultra HD channels; secure and rapidly deployed communications for governments and NGOs; and broadband services. The company also provides connectivity for maritime, including commercial shipping, sea-based oil and gas operations, governmental ships and luxury vessels, as well as in-flight broadband services. In addition, it provides data to corporate and Internet networks, Internet of Things, and machine to machine applications, as well as backhaul and trunking solutions that enable remote communities to access the IP backbone or global voice traffic with a seamless interface. The company offers its services under the Eutelsat brand. As of June 30, 2020, it operated 39 satellites in geostationary orbit. The company serves broadcasters, companies, video service providers, telecom operators, Internet service providers, and government agencies in France, Italy, the United Kingdom, other European countries, the Americas, the Middle-East, Africa, Asia, and internationally. Eutelsat Communications S.A. was founded in 1977 and is headquartered in Paris, France.",Paris,33 1 53 98 47 47,,France,[],http://www.eutelsat.com,1.0,"70, rue Balard",Communication Equipment,10.64,10.375,9.49075,0.08364661,0.698,,10.485,,752345.0,,10.64,10.295917,0.89,10.375,752345.0,,,,0.89,1605830400.0,0.805094,,,10.105,2.0,EUR,7.9529414,1392116.0,,,,2334390272.0,,,627585.0,1.837813,10.105,0.0,,0.0,1392116.0,10.875,6.9931035,,7.88,7.984,0.0,False,0.087799996,0.0,10.485,PAR,EUTELSAT COMMUNIC.,Eutelsat Communications S.A.,Europe/Paris,CEST,False,7200000,,EQUITY,ETL.PA,,,finmb_23827425,,fr_market,,4.368,,0.23169,6.466,0.056249976,,1.45,,230216000.0,,,10.906,,,,1593475200.0,0.71539,294300000.0,1.275,0.89,0.48360574,0.92976344,0.0002,1656547200.0,1609372800.0,,,151235768.0,5548789760.0,,,,,,-0.023,,,,,,,,10.14,https://logo.clearbit.com/eutelsat.com,,33 1 53 98 37 00,,1605830400.0,
49,92522,Financial Services,,"FFP SociÃ©tÃ© anonyme is a publicly owned investment manager. The firm invests in private equity and real estate funds. The firm also invests in governance, social and environmental protection. FFP SociÃ©tÃ© anonyme was founded in 1929 and is based in Paris, France.",Neuilly-sur-Seine,33 1 84 13 87 20,,France,[],http://www.groupe-ffp.fr/en,1.0,66 avenue Charles de Gaulle,Asset Management,110.8,110.8,90.55486,0.019404333,0.3996,,111.2,,10914.0,,110.8,103.46667,2.15,110.8,10914.0,,,,2.35,1621209600.0,1.751937,,,108.2,2.0,EUR,,9385.0,,,,2706958848.0,,,11054.0,36.57064,108.2,0.0,,0.0,9385.0,114.8,,,2.26,56.8,0.0,False,0.0215,0.0,111.2,PAR,FFP,FFP Société anonyme,Europe/Paris,CEST,False,7200000,,EQUITY,FFP.PA,,,finmb_10038076,,fr_market,,49.322,,-0.05309,89.067,0.6930232,,,,24789000.0,,,136.903,,,,1577750400.0,0.09307,-3930000.0,-0.159,2.15,0.48360574,0.79764503,0.80022,1640908800.0,1593475200.0,,,4846964.0,3650843904.0,,1183334400.0,2:1,,,,,,,,,,,109.2,https://logo.clearbit.com/groupe-ffp.fr,CS 60049,33 1 47 38 13 42,,1590105600.0,
50,90008,Industrials,,"LISI S.A. provides assembly and component solutions for the aerospace, automotive, and medical industries in France and internationally. It operates through three divisions: LISI Aerospace, LISI Automotive, and LISI Medical. The LISI Aerospace division provides window frame structures, corner box, main landing gear bay canted beam and structural components, critical braking parts, sand-off fasteners, lockbolt, pylon structure rib, structural fan guard struds, rectifying fan blades, landing gear beam, critical braking parts, engines blades & vanes, spinner, fan blade leading edges, air intake lips, compass, cylinder body, pressure latches, engine gearbox sprocket, and door stops for commercial aircrafts. This division also provides sleeve, rotating swash plate, rotor rod, fixed swash plate, blade attachment bolt, tail rotor rectifier, push button latch, door latch and landing gear, cargo hook, and shaft nuts for helicopters; and windscreen frame, canopy frame, fan blade, oil tank, and threaded fasteners for fighters. The LISI Automotive division provides simple snap-on fasteners, seat mechanism shafts, double snap-on fasteners, recessed clip nuts, gear base, seat-belt pretensioner engine, seat rail locking system, trim fasteners, clip fasteners, nuts, conrod screw, drain plug, cable raceway, cylinder head bolt, valve spring retainer, electric parking brake screw and nut system, and brake tube fitting. The LISI Medical division offers dental, vascular, upper extremities, lower extremities, traumatology, maxillofacia, and spinal implants, as well as minimally invasive surgery instruments, knee prosthesis and prosthesis, and instruments. The company was formerly known as GFI Industries and changed its name to LISI S.A. in 2002. The company was founded in 1777 and is headquartered in Belfort, France. LISI S.A. is a subsidiary of Compagnie Industrielle De Delle S.A.",Belfort,33 3 84 57 00 77,,France,[],http://www.lisi-group.com,1.0,6 rue JuvEnal Viellard,Aerospace & Defense,25.5,25.6,19.977917,0.005490196,0.0,,26.05,,10480.0,,25.5,22.864166,0.14,25.6,10480.0,,,,0.14,1620000000.0,2.153931,,,25.55,2.0,EUR,,13130.0,,,,1355125760.0,,,15969.0,1.0674778,25.55,0.0,,0.0,13130.0,26.05,11.851851,,,12.5,0.0,False,0.0055,0.0,26.05,PAR,LISI,Lisi S.A.,Europe/Paris,CEST,False,7200000,,EQUITY,FII.PA,,,finmb_881767,,fr_market,,1.239,,-0.0294,9.913,0.553398,,2.16,,52934600.0,,,18.749,,,,1609372800.0,0.12173,-37321000.0,-0.71,0.44,0.48360574,1.3654062,0.67375,1672444800.0,1609372800.0,,,19310011.0,1572242816.0,,1410480000.0,5:1,,,,,,,,,,,25.6,https://logo.clearbit.com/lisi-group.com,Grandvillars CS 70431 Cedex,33 3 84 57 02 00,,1556582400.0,
51,2500,Industrials,10639.0,"FLSmidth & Co. A/S supplies engineering, equipment, and services solutions to the cement and mining industries worldwide. The company operates through Mining and Cement segments. The company also engages in the mining activities. It explores for copper, gold, iron, coal, and battery metals. The company offers a range of products, systems, and services, including single engineered and customized equipment, such as mills, kiln systems, and clinker coolers for the cement industry; and crushers, ball mills, pumps, gravity concentrators, and thickeners or flotation cells, as well as bundled equipment solutions, full production plants, and maintenance solutions for the mining industry. The company also provides operation, maintenance, and upgrade services, as well as sells spare and wear parts. The company was founded in 1882 and is headquartered in Copenhagen, Denmark.",Copenhagen,45 36 18 18 00,,Denmark,[],http://www.flsmidth.com,1.0,Vigerslev AllÃ© 77,Specialty Industrial Machinery,241.5,242.0,215.15729,0.008281574,0.0,,243.4,,318216.0,,241.5,244.66945,2.0,242.0,318216.0,,,,2.0,1616630400.0,1.420265,,,239.8,2.0,DKK,57.593876,217037.0,,,,12076674048.0,,,381888.0,0.7345462,239.8,240.8,,0.0,217037.0,269.7,10.190436,,,140.2,241.1,False,0.0083,0.0,243.4,CPH,FLSmidth & Co. A/S,FLSmidth & Co. A/S,Europe/Copenhagen,CEST,False,7200000,,EQUITY,FLS.CO,,,finmb_874582,,dk_market,,0.841,,0.01277,15.423,0.49379647,,23.63,,50153000.0,,,162.226,,,,1609372800.0,0.39998,231000000.0,4.181,2.0,0.48360574,1.484349,0.02,1672444800.0,1609372800.0,,,42424818.0,13818669056.0,,,,,,-0.616,,,,,,,,240.8,https://logo.clearbit.com/flsmidth.com,Valby,45 36 44 11 46,,1616630400.0,
52,94200,Consumer Cyclical,22350.0,"Fnac Darty SA operates as an omnichannel retailer of entertainment and leisure products, consumer electronics, and household appliances in France, Switzerland, Iberian Peninsula, and Benelux. The company offers consumer electronics, including desktop computers, laptops, tablets, software, printers, e-readers, telephones and office products, and accessories, as well as various connected products; cameras and photography accessories; televisions and video accessories, such as DVD players, Blu-Ray players, and other accessories; and audio items and accessories comprising MP3 players, headphones, docking stations, and related accessories. It also provides editorial products that include hard copy and digital books; music, video, and video games and games consoles; and gadgets, T-shirts, musical instruments, and others. In addition, the company offers household appliances, which comprise refrigerators/freezers, cooking equipment, dishwashers, and washing machines/dryers; and vacuum cleaners, and body care and water/air treatment appliances, as well as other products and services, including kitchen units, home and design products, games and toys, urban mobility, stationery, wellbeing, and food and drink products. Further, it provides warranty extension, product insurance sale, after-sale, and delivery and installation services; rental services for consumer electronics and delivery services; ticketing and gift boxes; and membership cards for the company's loyalty programs. As of September 30, 2020, the company had a total of 894 stores, including 333 franchises. The company was formerly known as Groupe Fnac sociÃ©tÃ© anonyme. Fnac Darty SA was founded in 1954 and is headquartered in Ivry-sur-Seine, France.",Ivry-sur-Seine,33 1 55 21 57 93,,France,[],http://www.fnacdarty.com,1.0,"9, rue des Bateaux-Lavoirs",Specialty Retail,54.55,54.35,47.201668,0.018331805,0.0,,54.45,,49092.0,,54.55,52.44361,1.0,54.35,49092.0,,,,1.0,1625443200.0,1.622923,,,53.95,2.0,EUR,1103.0613,30523.0,,,,1434627456.0,,,73158.0,0.19152115,53.95,0.0,,0.0,30523.0,58.6,10.121722,,,24.54,0.0,False,0.0185,0.0,54.45,PAR,FNAC DARTY,Fnac Darty SA,Europe/Paris,CEST,False,7200000,,EQUITY,FNAC.PA,,,finmb_237655379,,fr_market,,0.325,,0.00016000001,7.944,1.0137854,,5.34,,26542600.0,,,51.563,,,,1609372800.0,0.24087,95600000.0,0.049,1.5,0.48360574,1.0482322,0.37367,1672444800.0,1609372800.0,,,16684740.0,2432450304.0,,,,,,-0.169,,,,,,,,54.05,https://logo.clearbit.com/fnacdarty.com,ZAC Port dâIvry,,,1591228800.0,
53,75017,Consumer Cyclical,110300.0,"Valeo SE designs, produces, and sells components, systems, and services for automakers in France, North America, South America, Asia, Africa, and other European countries. The company operates through four segments: Comfort & Driving Assistance Systems, Powertrain Systems, Thermal Systems, and Visibility Systems. It offers parking and driving assistance products, such as ultrasonic sensors, radars, and cameras to detect obstacles around vehicles; intuitive control products; and a range of connectivity solutions from short-range to long-range connectivity, as well as develops systems that enable the integration of applications, such as car sharing services and remote parking systems. The company also provides powertrain systems, including electric powertrain systems for electric cars; products, such as torque converters, dual dry and wet clutches, and actuators that enable the automation of transmissions to reduce fuel consumption and enhance driving comfort; and clean engines for vehicles. In addition, it designs and manufactures systems, modules, and components to optimize thermal management of vehicles and passenger comfort in the cabin, including heating ventilation and air conditioning systems. Further, the company designs and produces lighting and wiper systems for drivers in all weather conditions. In addition, it offers original equipment spares to auto manufacturers; and replacement parts and accessories to independent aftermarket for passenger cars and commercial vehicles. Valeo SE was founded in 1923 and is headquartered in Paris, France.",Paris,33 1 40 55 20 20,,France,[],http://www.valeo.com,1.0,"43, Rue Bayen",Auto Parts,28.48,28.52,30.144653,0.010533708,,,28.56,,1009072.0,,28.48,29.749166,0.3,28.52,1009072.0,,,,0.3,1622160000.0,2.127906,,,27.48,2.0,EUR,,1196987.0,,,,6635732992.0,,,943564.0,0.40373164,27.48,0.0,,0.0,1196987.0,34.05,8.220239,,2.81,14.44,0.0,False,0.0105,0.0,28.56,PAR,VALEO,Valeo SE,Europe/Paris,CEST,False,7200000,,EQUITY,FR.PA,,,finmb_688262,,fr_market,,0.647,,-0.06626,12.397,0.6285378,,3.36,,240251008.0,,,13.428,,,,1609372800.0,0.57126,-1088999936.0,-4.55,0.2,0.48360574,2.056896,0.02813,1672444800.0,1609372800.0,,,221083516.0,10636725248.0,,1465171200.0,3:1,,,,,,,,,,,27.62,https://logo.clearbit.com/valeo.com,,33 1 40 55 21 71,,1593388800.0,
54,8645,Industrials,,"Geberit AG develops, produces, and distributes sanitary products and systems for the residential and commercial construction industry worldwide. The company offers installation and flushing systems, such as installation technology, and flushing systems for toilets, including cisterns and fittings; and piping systems consisting of building drainage and supply systems, as well as piping technology for use in buildings for drinking water, heating, gas, and other media. It also provides bathroom systems product comprising bathroom ceramics, furniture, showers, bathtubs, taps and controls, and shower toilets. The company sells its products under the Geberit brand name. It sells its products to wholesalers, plumbers, and sanitary engineers. Geberit AG was founded in 1874 and is headquartered in Rapperswil-Jona, Switzerland.",Rapperswil-Jona,41 55 221 63 00,,Switzerland,[],http://www.geberit.com,1.0,Schachenstrasse 77,Building Products & Equipment,617.4,618.8,555.75415,0.018464528,0.632,,624.6,,86582.0,,617.4,579.32776,11.4,618.8,86582.0,,,,11.4,1618531200.0,0.625692,,,616.0,2.0,CHF,34.832214,77037.0,,,,22187622400.0,,,168198.0,7.430301,616.0,0.0,,0.0,77037.0,624.6,,,2.27,397.3,622.6,False,0.0183,0.0,624.6,EBS,GEBERIT N,Geberit AG,Europe/Zurich,CEST,False,7200000,,EQUITY,GEBN.SW,,,finmb_28856,,ch_market,,7.534,,0.2151,25.137,0.5305972,,,,35625600.0,,,53.95,,,,1609372800.0,0.38292,642300032.0,17.88,11.3,0.48360574,11.544022,0.00392,1672444800.0,1609372800.0,,,35452809.0,22497818624.0,,1178582400.0,10:1,,,0.246,,,,,,,,622.8,https://logo.clearbit.com/geberit.com,,41 55 221 67 47,,1585872000.0,
